,Zahl,Dozen,Black/Red,Even/Odd,High/Low,Column
133,13,Dozen 2,Black,Odd,Low,Column 1
134,31,Dozen 3,Black,Odd,High,Column 1
135,30,Dozen 3,Red,Even,High,Column 3
136,23,Dozen 2,Red,Odd,High,Column 2
137,12,Dozen 1,Red,Even,Low,Column 3
138,11,Dozen 1,Black,Odd,Low,Column 2
139,3,Dozen 1,Red,Odd,Low,Column 3
140,9,Dozen 1,Red,Odd,Low,Column 3
141,14,Dozen 2,Red,Even,Low,Column 2
142,7,Dozen 1,Red,Odd,Low,Column 1
143,26,Dozen 3,Black,Even,High,Column 2
144,17,Dozen 2,Black,Odd,Low,Column 2
145,16,Dozen 2,Red,Even,Low,Column 1
146,27,Dozen 3,Red,Odd,High,Column 3
147,14,Dozen 2,Red,Even,Low,Column 2
148,3,Dozen 1,Red,Odd,Low,Column 3
149,21,Dozen 2,Red,Odd,High,Column 3
150,15,Dozen 2,Black,Odd,Low,Column 3
151,13,Dozen 2,Black,Odd,Low,Column 1
152,32,Dozen 3,Red,Even,High,Column 2
153,4,Dozen 1,Black,Even,Low,Column 1
154,12,Dozen 1,Red,Even,Low,Column 3
155,26,Dozen 3,Black,Even,High,Column 2
156,2,Dozen 1,Black,Even,Low,Column 2
157,9,Dozen 1,Red,Odd,Low,Column 3
158,14,Dozen 2,Red,Even,Low,Column 2
159,1,Dozen 1,Red,Odd,Low,Column 1
160,29,Dozen 3,Black,Odd,High,Column 2
161,3,Dozen 1,Red,Odd,Low,Column 3
162,6,Dozen 1,Black,Even,Low,Column 3
163,14,Dozen 2,Red,Even,Low,Column 2
164,27,Dozen 3,Red,Odd,High,Column 3
165,20,Dozen 2,Black,Even,High,Column 2
166,6,Dozen 1,Black,Even,Low,Column 3
167,2,Dozen 1,Black,Even,Low,Column 2
168,4,Dozen 1,Black,Even,Low,Column 1
169,19,Dozen 2,Red,Odd,High,Column 1
170,12,Dozen 1,Red,Even,Low,Column 3
171,29,Dozen 3,Black,Odd,High,Column 2
172,23,Dozen 2,Red,Odd,High,Column 2
173,14,Dozen 2,Red,Even,Low,Column 2
174,9,Dozen 1,Red,Odd,Low,Column 3
175,33,Dozen 3,Black,Odd,High,Column 3
176,7,Dozen 1,Red,Odd,Low,Column 1
177,36,Dozen 3,Red,Even,High,Column 3
178,18,Dozen 2,Red,Even,Low,Column 3
179,29,Dozen 3,Black,Odd,High,Column 2
180,13,Dozen 2,Black,Odd,Low,Column 1
181,2,Dozen 1,Black,Even,Low,Column 2
182,20,Dozen 2,Black,Even,High,Column 2
183,32,Dozen 3,Red,Even,High,Column 2
184,4,Dozen 1,Black,Even,Low,Column 1
185,28,Dozen 3,Black,Even,High,Column 1
186,17,Dozen 2,Black,Odd,Low,Column 2
187,33,Dozen 3,Black,Odd,High,Column 3
188,10,Dozen 1,Black,Even,Low,Column 1
189,22,Dozen 2,Black,Even,High,Column 1
190,7,Dozen 1,Red,Odd,Low,Column 1
191,14,Dozen 2,Red,Even,Low,Column 2
192,25,Dozen 3,Red,Odd,High,Column 1
193,17,Dozen 2,Black,Odd,Low,Column 2
194,12,Dozen 1,Red,Even,Low,Column 3
195,21,Dozen 2,Red,Odd,High,Column 3
196,34,Dozen 3,Red,Even,High,Column 1
197,9,Dozen 1,Red,Odd,Low,Column 3
198,26,Dozen 3,Black,Even,High,Column 2
199,21,Dozen 2,Red,Odd,High,Column 3
200,24,Dozen 2,Black,Even,High,Column 3
201,27,Dozen 3,Red,Odd,High,Column 3
202,25,Dozen 3,Red,Odd,High,Column 1
203,26,Dozen 3,Black,Even,High,Column 2
204,7,Dozen 1,Red,Odd,Low,Column 1
205,24,Dozen 2,Black,Even,High,Column 3
206,31,Dozen 3,Black,Odd,High,Column 1
207,15,Dozen 2,Black,Odd,Low,Column 3
208,29,Dozen 3,Black,Odd,High,Column 2
209,23,Dozen 2,Red,Odd,High,Column 2
210,17,Dozen 2,Black,Odd,Low,Column 2
211,13,Dozen 2,Black,Odd,Low,Column 1
212,4,Dozen 1,Black,Even,Low,Column 1
213,5,Dozen 1,Red,Odd,Low,Column 2
214,25,Dozen 3,Red,Odd,High,Column 1
215,9,Dozen 1,Red,Odd,Low,Column 3
216,32,Dozen 3,Red,Even,High,Column 2
217,5,Dozen 1,Red,Odd,Low,Column 2
218,26,Dozen 3,Black,Even,High,Column 2
219,13,Dozen 2,Black,Odd,Low,Column 1
220,23,Dozen 2,Red,Odd,High,Column 2
221,13,Dozen 2,Black,Odd,Low,Column 1
222,16,Dozen 2,Red,Even,Low,Column 1
223,19,Dozen 2,Red,Odd,High,Column 1
224,28,Dozen 3,Black,Even,High,Column 1
225,34,Dozen 3,Red,Even,High,Column 1
226,28,Dozen 3,Black,Even,High,Column 1
227,15,Dozen 2,Black,Odd,Low,Column 3
228,11,Dozen 1,Black,Odd,Low,Column 2
229,17,Dozen 2,Black,Odd,Low,Column 2
230,23,Dozen 2,Red,Odd,High,Column 2
231,7,Dozen 1,Red,Odd,Low,Column 1
232,22,Dozen 2,Black,Even,High,Column 1
233,29,Dozen 3,Black,Odd,High,Column 2
234,16,Dozen 2,Red,Even,Low,Column 1
235,21,Dozen 2,Red,Odd,High,Column 3
236,16,Dozen 2,Red,Even,Low,Column 1
237,2,Dozen 1,Black,Even,Low,Column 2
238,36,Dozen 3,Red,Even,High,Column 3
239,9,Dozen 1,Red,Odd,Low,Column 3
240,17,Dozen 2,Black,Odd,Low,Column 2
241,26,Dozen 3,Black,Even,High,Column 2
242,26,Dozen 3,Black,Even,High,Column 2
243,24,Dozen 2,Black,Even,High,Column 3
244,8,Dozen 1,Black,Even,Low,Column 2
245,3,Dozen 1,Red,Odd,Low,Column 3
246,8,Dozen 1,Black,Even,Low,Column 2
247,23,Dozen 2,Red,Odd,High,Column 2
248,25,Dozen 3,Red,Odd,High,Column 1
249,10,Dozen 1,Black,Even,Low,Column 1
250,33,Dozen 3,Black,Odd,High,Column 3
251,20,Dozen 2,Black,Even,High,Column 2
252,25,Dozen 3,Red,Odd,High,Column 1
253,17,Dozen 2,Black,Odd,Low,Column 2
254,28,Dozen 3,Black,Even,High,Column 1
255,34,Dozen 3,Red,Even,High,Column 1
256,2,Dozen 1,Black,Even,Low,Column 2
257,16,Dozen 2,Red,Even,Low,Column 1
258,2,Dozen 1,Black,Even,Low,Column 2
259,30,Dozen 3,Red,Even,High,Column 3
260,6,Dozen 1,Black,Even,Low,Column 3
261,27,Dozen 3,Red,Odd,High,Column 3
262,15,Dozen 2,Black,Odd,Low,Column 3
263,35,Dozen 3,Black,Odd,High,Column 2
264,25,Dozen 3,Red,Odd,High,Column 1
265,21,Dozen 2,Red,Odd,High,Column 3
266,10,Dozen 1,Black,Even,Low,Column 1
267,24,Dozen 2,Black,Even,High,Column 3
268,17,Dozen 2,Black,Odd,Low,Column 2
269,19,Dozen 2,Red,Odd,High,Column 1
270,33,Dozen 3,Black,Odd,High,Column 3
271,5,Dozen 1,Red,Odd,Low,Column 2
272,30,Dozen 3,Red,Even,High,Column 3
273,33,Dozen 3,Black,Odd,High,Column 3
274,28,Dozen 3,Black,Even,High,Column 1
275,10,Dozen 1,Black,Even,Low,Column 1
276,5,Dozen 1,Red,Odd,Low,Column 2
277,29,Dozen 3,Black,Odd,High,Column 2
278,8,Dozen 1,Black,Even,Low,Column 2
279,34,Dozen 3,Red,Even,High,Column 1
280,5,Dozen 1,Red,Odd,Low,Column 2
281,31,Dozen 3,Black,Odd,High,Column 1
282,3,Dozen 1,Red,Odd,Low,Column 3
283,18,Dozen 2,Red,Even,Low,Column 3
284,31,Dozen 3,Black,Odd,High,Column 1
285,7,Dozen 1,Red,Odd,Low,Column 1
286,25,Dozen 3,Red,Odd,High,Column 1
287,15,Dozen 2,Black,Odd,Low,Column 3
288,17,Dozen 2,Black,Odd,Low,Column 2
289,0,0,0,0,0,0
290,24,Dozen 2,Black,Even,High,Column 3
291,19,Dozen 2,Red,Odd,High,Column 1
292,11,Dozen 1,Black,Odd,Low,Column 2
293,11,Dozen 1,Black,Odd,Low,Column 2
294,19,Dozen 2,Red,Odd,High,Column 1
295,21,Dozen 2,Red,Odd,High,Column 3
296,33,Dozen 3,Black,Odd,High,Column 3
297,16,Dozen 2,Red,Even,Low,Column 1
298,9,Dozen 1,Red,Odd,Low,Column 3
299,29,Dozen 3,Black,Odd,High,Column 2
300,7,Dozen 1,Red,Odd,Low,Column 1
301,7,Dozen 1,Red,Odd,Low,Column 1
302,20,Dozen 2,Black,Even,High,Column 2
303,17,Dozen 2,Black,Odd,Low,Column 2
304,21,Dozen 2,Red,Odd,High,Column 3
305,33,Dozen 3,Black,Odd,High,Column 3
306,12,Dozen 1,Red,Even,Low,Column 3
307,34,Dozen 3,Red,Even,High,Column 1
308,2,Dozen 1,Black,Even,Low,Column 2
309,29,Dozen 3,Black,Odd,High,Column 2
310,36,Dozen 3,Red,Even,High,Column 3
311,15,Dozen 2,Black,Odd,Low,Column 3
312,21,Dozen 2,Red,Odd,High,Column 3
313,3,Dozen 1,Red,Odd,Low,Column 3
314,2,Dozen 1,Black,Even,Low,Column 2
315,12,Dozen 1,Red,Even,Low,Column 3
316,3,Dozen 1,Red,Odd,Low,Column 3
317,15,Dozen 2,Black,Odd,Low,Column 3
318,17,Dozen 2,Black,Odd,Low,Column 2
319,2,Dozen 1,Black,Even,Low,Column 2
320,6,Dozen 1,Black,Even,Low,Column 3
321,13,Dozen 2,Black,Odd,Low,Column 1
322,4,Dozen 1,Black,Even,Low,Column 1
323,17,Dozen 2,Black,Odd,Low,Column 2
324,7,Dozen 1,Red,Odd,Low,Column 1
325,29,Dozen 3,Black,Odd,High,Column 2
326,12,Dozen 1,Red,Even,Low,Column 3
327,31,Dozen 3,Black,Odd,High,Column 1
328,32,Dozen 3,Red,Even,High,Column 2
329,8,Dozen 1,Black,Even,Low,Column 2
330,26,Dozen 3,Black,Even,High,Column 2
331,33,Dozen 3,Black,Odd,High,Column 3
332,15,Dozen 2,Black,Odd,Low,Column 3
333,31,Dozen 3,Black,Odd,High,Column 1
334,10,Dozen 1,Black,Even,Low,Column 1
335,31,Dozen 3,Black,Odd,High,Column 1
336,32,Dozen 3,Red,Even,High,Column 2
337,19,Dozen 2,Red,Odd,High,Column 1
338,21,Dozen 2,Red,Odd,High,Column 3
339,8,Dozen 1,Black,Even,Low,Column 2
340,0,0,0,0,0,0
341,10,Dozen 1,Black,Even,Low,Column 1
342,33,Dozen 3,Black,Odd,High,Column 3
343,1,Dozen 1,Red,Odd,Low,Column 1
344,13,Dozen 2,Black,Odd,Low,Column 1
345,3,Dozen 1,Red,Odd,Low,Column 3
346,0,0,0,0,0,0
347,22,Dozen 2,Black,Even,High,Column 1
348,22,Dozen 2,Black,Even,High,Column 1
349,17,Dozen 2,Black,Odd,Low,Column 2
350,17,Dozen 2,Black,Odd,Low,Column 2
351,3,Dozen 1,Red,Odd,Low,Column 3
352,18,Dozen 2,Red,Even,Low,Column 3
353,13,Dozen 2,Black,Odd,Low,Column 1
354,4,Dozen 1,Black,Even,Low,Column 1
355,17,Dozen 2,Black,Odd,Low,Column 2
356,4,Dozen 1,Black,Even,Low,Column 1
357,2,Dozen 1,Black,Even,Low,Column 2
358,22,Dozen 2,Black,Even,High,Column 1
359,5,Dozen 1,Red,Odd,Low,Column 2
360,34,Dozen 3,Red,Even,High,Column 1
361,20,Dozen 2,Black,Even,High,Column 2
362,34,Dozen 3,Red,Even,High,Column 1
363,21,Dozen 2,Red,Odd,High,Column 3
364,17,Dozen 2,Black,Odd,Low,Column 2
365,5,Dozen 1,Red,Odd,Low,Column 2
366,15,Dozen 2,Black,Odd,Low,Column 3
367,28,Dozen 3,Black,Even,High,Column 1
368,3,Dozen 1,Red,Odd,Low,Column 3
369,6,Dozen 1,Black,Even,Low,Column 3
370,14,Dozen 2,Red,Even,Low,Column 2
371,5,Dozen 1,Red,Odd,Low,Column 2
372,14,Dozen 2,Red,Even,Low,Column 2
373,36,Dozen 3,Red,Even,High,Column 3
374,1,Dozen 1,Red,Odd,Low,Column 1
375,16,Dozen 2,Red,Even,Low,Column 1
376,7,Dozen 1,Red,Odd,Low,Column 1
377,2,Dozen 1,Black,Even,Low,Column 2
378,6,Dozen 1,Black,Even,Low,Column 3
379,19,Dozen 2,Red,Odd,High,Column 1
380,2,Dozen 1,Black,Even,Low,Column 2
381,21,Dozen 2,Red,Odd,High,Column 3
382,12,Dozen 1,Red,Even,Low,Column 3
383,0,0,0,0,0,0
384,25,Dozen 3,Red,Odd,High,Column 1
385,24,Dozen 2,Black,Even,High,Column 3
386,1,Dozen 1,Red,Odd,Low,Column 1
387,26,Dozen 3,Black,Even,High,Column 2
388,21,Dozen 2,Red,Odd,High,Column 3
389,32,Dozen 3,Red,Even,High,Column 2
390,13,Dozen 2,Black,Odd,Low,Column 1
391,20,Dozen 2,Black,Even,High,Column 2
392,7,Dozen 1,Red,Odd,Low,Column 1
393,23,Dozen 2,Red,Odd,High,Column 2
394,33,Dozen 3,Black,Odd,High,Column 3
395,31,Dozen 3,Black,Odd,High,Column 1
396,16,Dozen 2,Red,Even,Low,Column 1
397,23,Dozen 2,Red,Odd,High,Column 2
398,25,Dozen 3,Red,Odd,High,Column 1
399,34,Dozen 3,Red,Even,High,Column 1
400,32,Dozen 3,Red,Even,High,Column 2
401,6,Dozen 1,Black,Even,Low,Column 3
402,26,Dozen 3,Black,Even,High,Column 2
403,2,Dozen 1,Black,Even,Low,Column 2
404,22,Dozen 2,Black,Even,High,Column 1
405,24,Dozen 2,Black,Even,High,Column 3
406,30,Dozen 3,Red,Even,High,Column 3
407,23,Dozen 2,Red,Odd,High,Column 2
408,3,Dozen 1,Red,Odd,Low,Column 3
409,32,Dozen 3,Red,Even,High,Column 2
410,17,Dozen 2,Black,Odd,Low,Column 2
411,34,Dozen 3,Red,Even,High,Column 1
412,29,Dozen 3,Black,Odd,High,Column 2
413,0,0,0,0,0,0
414,9,Dozen 1,Red,Odd,Low,Column 3
415,14,Dozen 2,Red,Even,Low,Column 2
416,20,Dozen 2,Black,Even,High,Column 2
417,11,Dozen 1,Black,Odd,Low,Column 2
418,20,Dozen 2,Black,Even,High,Column 2
419,2,Dozen 1,Black,Even,Low,Column 2
420,29,Dozen 3,Black,Odd,High,Column 2
421,18,Dozen 2,Red,Even,Low,Column 3
422,26,Dozen 3,Black,Even,High,Column 2
423,6,Dozen 1,Black,Even,Low,Column 3
424,16,Dozen 2,Red,Even,Low,Column 1
425,9,Dozen 1,Red,Odd,Low,Column 3
426,11,Dozen 1,Black,Odd,Low,Column 2
427,32,Dozen 3,Red,Even,High,Column 2
428,8,Dozen 1,Black,Even,Low,Column 2
429,21,Dozen 2,Red,Odd,High,Column 3
430,30,Dozen 3,Red,Even,High,Column 3
431,11,Dozen 1,Black,Odd,Low,Column 2
432,30,Dozen 3,Red,Even,High,Column 3
433,5,Dozen 1,Red,Odd,Low,Column 2
434,22,Dozen 2,Black,Even,High,Column 1
435,34,Dozen 3,Red,Even,High,Column 1
436,23,Dozen 2,Red,Odd,High,Column 2
437,30,Dozen 3,Red,Even,High,Column 3
438,14,Dozen 2,Red,Even,Low,Column 2
439,26,Dozen 3,Black,Even,High,Column 2
440,23,Dozen 2,Red,Odd,High,Column 2
441,3,Dozen 1,Red,Odd,Low,Column 3
442,20,Dozen 2,Black,Even,High,Column 2
443,26,Dozen 3,Black,Even,High,Column 2
444,10,Dozen 1,Black,Even,Low,Column 1
445,24,Dozen 2,Black,Even,High,Column 3
446,6,Dozen 1,Black,Even,Low,Column 3
447,11,Dozen 1,Black,Odd,Low,Column 2
448,24,Dozen 2,Black,Even,High,Column 3
449,12,Dozen 1,Red,Even,Low,Column 3
450,2,Dozen 1,Black,Even,Low,Column 2
451,6,Dozen 1,Black,Even,Low,Column 3
452,2,Dozen 1,Black,Even,Low,Column 2
453,19,Dozen 2,Red,Odd,High,Column 1
454,8,Dozen 1,Black,Even,Low,Column 2
455,25,Dozen 3,Red,Odd,High,Column 1
456,9,Dozen 1,Red,Odd,Low,Column 3
457,32,Dozen 3,Red,Even,High,Column 2
458,4,Dozen 1,Black,Even,Low,Column 1
459,1,Dozen 1,Red,Odd,Low,Column 1
460,32,Dozen 3,Red,Even,High,Column 2
461,0,0,0,0,0,0
462,34,Dozen 3,Red,Even,High,Column 1
463,11,Dozen 1,Black,Odd,Low,Column 2
464,24,Dozen 2,Black,Even,High,Column 3
465,15,Dozen 2,Black,Odd,Low,Column 3
466,2,Dozen 1,Black,Even,Low,Column 2
467,20,Dozen 2,Black,Even,High,Column 2
468,24,Dozen 2,Black,Even,High,Column 3
469,30,Dozen 3,Red,Even,High,Column 3
470,27,Dozen 3,Red,Odd,High,Column 3
471,14,Dozen 2,Red,Even,Low,Column 2
472,1,Dozen 1,Red,Odd,Low,Column 1
473,5,Dozen 1,Red,Odd,Low,Column 2
474,22,Dozen 2,Black,Even,High,Column 1
475,7,Dozen 1,Red,Odd,Low,Column 1
476,24,Dozen 2,Black,Even,High,Column 3
477,29,Dozen 3,Black,Odd,High,Column 2
478,12,Dozen 1,Red,Even,Low,Column 3
479,7,Dozen 1,Red,Odd,Low,Column 1
480,2,Dozen 1,Black,Even,Low,Column 2
481,1,Dozen 1,Red,Odd,Low,Column 1
482,24,Dozen 2,Black,Even,High,Column 3
483,10,Dozen 1,Black,Even,Low,Column 1
484,12,Dozen 1,Red,Even,Low,Column 3
485,3,Dozen 1,Red,Odd,Low,Column 3
486,2,Dozen 1,Black,Even,Low,Column 2
487,32,Dozen 3,Red,Even,High,Column 2
488,5,Dozen 1,Red,Odd,Low,Column 2
489,36,Dozen 3,Red,Even,High,Column 3
490,1,Dozen 1,Red,Odd,Low,Column 1
491,21,Dozen 2,Red,Odd,High,Column 3
492,17,Dozen 2,Black,Odd,Low,Column 2
493,31,Dozen 3,Black,Odd,High,Column 1
494,25,Dozen 3,Red,Odd,High,Column 1
495,19,Dozen 2,Red,Odd,High,Column 1
496,25,Dozen 3,Red,Odd,High,Column 1
497,30,Dozen 3,Red,Even,High,Column 3
498,34,Dozen 3,Red,Even,High,Column 1
499,3,Dozen 1,Red,Odd,Low,Column 3
500,15,Dozen 2,Black,Odd,Low,Column 3
501,27,Dozen 3,Red,Odd,High,Column 3
502,30,Dozen 3,Red,Even,High,Column 3
503,29,Dozen 3,Black,Odd,High,Column 2
504,31,Dozen 3,Black,Odd,High,Column 1
505,30,Dozen 3,Red,Even,High,Column 3
506,6,Dozen 1,Black,Even,Low,Column 3
507,27,Dozen 3,Red,Odd,High,Column 3
508,15,Dozen 2,Black,Odd,Low,Column 3
509,28,Dozen 3,Black,Even,High,Column 1
510,19,Dozen 2,Red,Odd,High,Column 1
511,25,Dozen 3,Red,Odd,High,Column 1
512,1,Dozen 1,Red,Odd,Low,Column 1
513,11,Dozen 1,Black,Odd,Low,Column 2
514,20,Dozen 2,Black,Even,High,Column 2
515,18,Dozen 2,Red,Even,Low,Column 3
516,3,Dozen 1,Red,Odd,Low,Column 3
517,21,Dozen 2,Red,Odd,High,Column 3
518,7,Dozen 1,Red,Odd,Low,Column 1
519,0,0,0,0,0,0
520,9,Dozen 1,Red,Odd,Low,Column 3
521,23,Dozen 2,Red,Odd,High,Column 2
522,9,Dozen 1,Red,Odd,Low,Column 3
523,20,Dozen 2,Black,Even,High,Column 2
524,26,Dozen 3,Black,Even,High,Column 2
525,5,Dozen 1,Red,Odd,Low,Column 2
526,27,Dozen 3,Red,Odd,High,Column 3
527,35,Dozen 3,Black,Odd,High,Column 2
528,11,Dozen 1,Black,Odd,Low,Column 2
529,1,Dozen 1,Red,Odd,Low,Column 1
530,26,Dozen 3,Black,Even,High,Column 2
531,20,Dozen 2,Black,Even,High,Column 2
532,8,Dozen 1,Black,Even,Low,Column 2
533,30,Dozen 3,Red,Even,High,Column 3
534,16,Dozen 2,Red,Even,Low,Column 1
535,2,Dozen 1,Black,Even,Low,Column 2
536,28,Dozen 3,Black,Even,High,Column 1
537,36,Dozen 3,Red,Even,High,Column 3
538,16,Dozen 2,Red,Even,Low,Column 1
539,36,Dozen 3,Red,Even,High,Column 3
540,13,Dozen 2,Black,Odd,Low,Column 1
541,8,Dozen 1,Black,Even,Low,Column 2
542,0,0,0,0,0,0
543,10,Dozen 1,Black,Even,Low,Column 1
544,6,Dozen 1,Black,Even,Low,Column 3
545,6,Dozen 1,Black,Even,Low,Column 3
546,13,Dozen 2,Black,Odd,Low,Column 1
547,30,Dozen 3,Red,Even,High,Column 3
548,35,Dozen 3,Black,Odd,High,Column 2
549,29,Dozen 3,Black,Odd,High,Column 2
550,17,Dozen 2,Black,Odd,Low,Column 2
551,35,Dozen 3,Black,Odd,High,Column 2
552,33,Dozen 3,Black,Odd,High,Column 3
553,21,Dozen 2,Red,Odd,High,Column 3
554,13,Dozen 2,Black,Odd,Low,Column 1
555,17,Dozen 2,Black,Odd,Low,Column 2
556,1,Dozen 1,Red,Odd,Low,Column 1
557,1,Dozen 1,Red,Odd,Low,Column 1
558,29,Dozen 3,Black,Odd,High,Column 2
559,12,Dozen 1,Red,Even,Low,Column 3
560,34,Dozen 3,Red,Even,High,Column 1
